# This file contains the peak energy deposition density for each cube in the detector array.
# Each line corresponds to one cube, with the following format: (x, y, z, peak energy deposition density)
# x, y, z: The coordinates of the cube in the detector array
# peak energy deposition density: The maximum energy deposition density in the cube, in units of J/g
# this is for a 100mm X 100mm X 200mm lXe Target. Each cube is 10mm X 10mm X 10mm
x	y	z	peak_energy_deposition_density
1.0	10.0	18.0	7.142350867875173e-12
1.0	10.0	19.0	6.2307809632000335e-12
1.0	10.0	20.0	5.7942361932191364e-12
2.0	0.0	0.0	5.319119486507307e-13
2.0	0.0	1.0	3.009558592816558e-13
2.0	0.0	2.0	2.914398742368128e-13
2.0	0.0	3.0	3.931803051130105e-13
2.0	0.0	4.0	7.712596022644685e-13
2.0	0.0	5.0	8.044021906788237e-13
2.0	0.0	6.0	1.97615785576097e-12
2.0	0.0	7.0	2.0319703439836554e-12
2.0	0.0	8.0	3.843478068189361e-12
2.0	0.0	9.0	2.1965332883744054e-12
2.0	0.0	10.0	2.170407637887223e-12
2.0	0.0	11.0	3.733494786973454e-12
2.0	0.0	12.0	3.345687117128262e-12
2.0	0.0	13.0	4.73347177872505e-12
2.0	0.0	14.0	5.7278886951917415e-12
2.0	0.0	15.0	6.980304173627819e-12
2.0	0.0	16.0	8.30931139928943e-12
2.0	0.0	17.0	1.0119433892645582e-11
2.0	0.0	18.0	7.50822355290508e-12
2.0	0.0	19.0	7.736337223583339e-12
2.0	0.0	20.0	7.596407771525727e-12
2.0	1.0	0.0	4.896334262467214e-13
2.0	1.0	1.0	6.453747285794164e-13
2.0	1.0	2.0	6.331628981257047e-13
2.0	1.0	3.0	8.562356306400911e-13
2.0	1.0	4.0	1.0290483124621799e-12
2.0	1.0	5.0	1.1231431330566378e-12
2.0	1.0	6.0	2.1984360003573584e-12
2.0	1.0	7.0	3.4181630073526927e-12
2.0	1.0	8.0	3.801761510026438e-12
2.0	1.0	9.0	3.872969358557624e-12
2.0	1.0	10.0	6.1043866971762196e-12
2.0	1.0	11.0	6.233388891160016e-12
2.0	1.0	12.0	7.891100457033743e-12
2.0	1.0	13.0	8.998176885489975e-12
2.0	1.0	14.0	1.1025264778589842e-11
2.0	1.0	15.0	9.27886878266829e-12
2.0	1.0	16.0	1.114305067184654e-11
2.0	1.0	17.0	1.3645425488797357e-11
2.0	1.0	18.0	1.246302165200665e-11
2.0	1.0	19.0	1.507563811361277e-11
2.0	1.0	20.0	1.4217406525720276e-11
2.0	2.0	0.0	6.0263436099185e-13
2.0	2.0	1.0	5.748430528436753e-13
2.0	2.0	2.0	5.213041612338708e-13
2.0	2.0	3.0	8.185905409386077e-13
2.0	2.0	4.0	1.3298197079339716e-12
2.0	2.0	5.0	1.8640199218218557e-12
2.0	2.0	6.0	2.6727155140028605e-12
2.0	2.0	7.0	3.2647991746016543e-12
2.0	2.0	8.0	4.007304004654995e-12
2.0	2.0	9.0	6.504073518100719e-12
2.0	2.0	10.0	9.086212126261582e-12
2.0	2.0	11.0	1.0903940565312242e-11
2.0	2.0	12.0	1.4271501161566638e-11
2.0	2.0	13.0	1.484760409633407e-11
2.0	2.0	14.0	1.82728592208715e-11
2.0	2.0	15.0	1.8553531572037437e-11
2.0	2.0	16.0	2.136691100885452e-11
2.0	2.0	17.0	2.3898862737550913e-11
2.0	2.0	18.0	2.309565680889275e-11
2.0	2.0	19.0	2.7055503343231648e-11
2.0	2.0	20.0	2.568168299209743e-11
2.0	3.0	0.0	2.3536490130224186e-13
2.0	3.0	1.0	8.275976179870803e-13
2.0	3.0	2.0	5.022534780683373e-13
2.0	3.0	3.0	1.816533003683699e-12
2.0	3.0	4.0	2.0889756562369872e-12
2.0	3.0	5.0	2.791623608619192e-12
2.0	3.0	6.0	5.164552306740174e-12
2.0	3.0	7.0	6.6029641087304805e-12
2.0	3.0	8.0	8.288732571335615e-12
2.0	3.0	9.0	1.162962548230054e-11
2.0	3.0	10.0	1.6569035745789694e-11
2.0	3.0	11.0	1.5328987524783544e-11
2.0	3.0	12.0	2.1673726278152147e-11
2.0	3.0	13.0	2.658049929346404e-11
2.0	3.0	14.0	3.231360085632371e-11
2.0	3.0	15.0	3.159730340154689e-11
2.0	3.0	16.0	3.8357759275493184e-11
2.0	3.0	17.0	3.6384963646266316e-11
2.0	3.0	18.0	4.1520311665513934e-11
2.0	3.0	19.0	5.117148297146506e-11
2.0	3.0	20.0	4.363438042123358e-11
2.0	4.0	0.0	4.784110372538395e-13
2.0	4.0	1.0	7.861738321308766e-13
2.0	4.0	2.0	1.1572494552942653e-12
2.0	4.0	3.0	1.617111201906366e-12
2.0	4.0	4.0	2.9973333003897204e-12
2.0	4.0	5.0	4.106060431357281e-12
